row_id,order_id,order_date,customer_id,address_id,item_id,item_quantity
row_001,ord_001,2024-03-05 19:41,cust_024,add_133,item_001,1
row_002,ord_002,2024-10-30 14:53,cust_050,add_035,item_005,1
row_003,ord_002,2024-10-30 14:53,cust_050,add_035,item_006,1
row_004,ord_002,2024-10-30 14:53,cust_050,add_035,item_004,1
row_005,ord_002,2024-10-30 14:53,cust_050,add_035,item_007,3
row_006,ord_002,2024-10-30 14:53,cust_050,add_035,item_001,1
row_007,ord_003,2024-08-26 10:09,cust_093,add_188,item_001,1
row_008,ord_003,2024-08-26 10:09,cust_093,add_188,item_003,2
row_009,ord_003,2024-08-26 10:09,cust_093,add_188,item_009,1
row_010,ord_004,2024-12-28 18:48,cust_004,add_179,item_007,1
row_011,ord_004,2024-12-28 18:48,cust_004,add_179,item_005,1
row_012,ord_004,2024-12-28 18:48,cust_004,add_179,item_009,1
row_013,ord_004,2024-12-28 18:48,cust_004,add_179,item_004,1
row_014,ord_004,2024-12-28 18:48,cust_004,add_179,item_008,1
row_015,ord_005,2024-12-23 10:09,cust_032,add_163,item_006,1
row_016,ord_005,2024-12-23 10:09,cust_032,add_163,item_008,1
row_017,ord_005,2024-12-23 10:09,cust_032,add_163,item_007,1
row_018,ord_006,2024-09-13 05:13,cust_009,add_106,item_007,2
row_019,ord_006,2024-09-13 05:13,cust_009,add_106,item_002,1
row_020,ord_007,2024-11-06 10:02,cust_032,add_171,item_005,2
row_021,ord_007,2024-11-06 10:02,cust_032,add_171,item_006,1
row_022,ord_007,2024-11-06 10:02,cust_032,add_171,item_002,1
row_023,ord_007,2024-11-06 10:02,cust_032,add_171,item_003,1
row_024,ord_008,2024-12-29 07:33,cust_035,add_037,item_003,1
row_025,ord_008,2024-12-29 07:33,cust_035,add_037,item_004,2
row_026,ord_009,2024-01-20 16:19,cust_085,add_080,item_002,1
row_027,ord_010,2024-09-02 01:08,cust_028,add_063,item_007,2
row_028,ord_010,2024-09-02 01:08,cust_028,add_063,item_005,1
row_029,ord_011,2024-12-13 10:59,cust_006,add_196,item_001,1
row_030,ord_011,2024-12-13 10:59,cust_006,add_196,item_005,1
row_031,ord_012,2024-08-22 06:52,cust_045,add_006,item_008,1
row_032,ord_012,2024-08-22 06:52,cust_045,add_006,item_006,1
row_033,ord_012,2024-08-22 06:52,cust_045,add_006,item_005,1
row_034,ord_013,2024-02-01 17:22,cust_086,add_153,item_004,1
row_035,ord_014,2024-08-06 00:04,cust_066,add_139,item_009,1
row_036,ord_014,2024-08-06 00:04,cust_066,add_139,item_005,1
row_037,ord_014,2024-08-06 00:04,cust_066,add_139,item_001,1
row_038,ord_014,2024-08-06 00:04,cust_066,add_139,item_004,1
row_039,ord_015,2024-05-05 04:59,cust_069,add_001,item_007,1
row_040,ord_016,2024-10-28 07:06,cust_056,add_009,item_006,1
row_041,ord_017,2024-01-16 04:26,cust_073,add_100,item_002,1
row_042,ord_017,2024-01-16 04:26,cust_073,add_100,item_008,1
row_043,ord_018,2024-09-20 10:01,cust_075,add_055,item_008,2
row_044,ord_018,2024-09-20 10:01,cust_075,add_055,item_005,1
row_045,ord_018,2024-09-20 10:01,cust_075,add_055,item_009,1
row_046,ord_018,2024-09-20 10:01,cust_075,add_055,item_001,2
row_047,ord_018,2024-09-20 10:01,cust_075,add_055,item_003,1
row_048,ord_019,2024-02-19 04:20,cust_012,add_029,item_005,2
row_049,ord_019,2024-02-19 04:20,cust_012,add_029,item_001,1
row_050,ord_019,2024-02-19 04:20,cust_012,add_029,item_009,2
row_051,ord_020,2024-01-15 17:58,cust_007,add_152,item_002,2
row_052,ord_020,2024-01-15 17:58,cust_007,add_152,item_006,2
row_053,ord_020,2024-01-15 17:58,cust_007,add_152,item_009,1
row_054,ord_020,2024-01-15 17:58,cust_007,add_152,item_003,1
row_055,ord_021,2024-01-22 02:57,cust_082,add_117,item_003,1
row_056,ord_021,2024-01-22 02:57,cust_082,add_117,item_006,1
row_057,ord_022,2024-08-18 15:45,cust_025,add_152,item_003,1
row_058,ord_022,2024-08-18 15:45,cust_025,add_152,item_008,2
row_059,ord_022,2024-08-18 15:45,cust_025,add_152,item_006,2
row_060,ord_022,2024-08-18 15:45,cust_025,add_152,item_002,1
row_061,ord_022,2024-08-18 15:45,cust_025,add_152,item_007,1
row_062,ord_023,2024-09-27 18:28,cust_043,add_178,item_008,3
row_063,ord_023,2024-09-27 18:28,cust_043,add_178,item_004,2
row_064,ord_023,2024-09-27 18:28,cust_043,add_178,item_005,1
row_065,ord_023,2024-09-27 18:28,cust_043,add_178,item_006,1
row_066,ord_024,2024-08-08 20:01,cust_081,add_027,item_002,2
row_067,ord_024,2024-08-08 20:01,cust_081,add_027,item_007,1
row_068,ord_024,2024-08-08 20:01,cust_081,add_027,item_009,1
row_069,ord_025,2024-09-28 08:42,cust_056,add_024,item_009,3
row_070,ord_025,2024-09-28 08:42,cust_056,add_024,item_004,1
row_071,ord_025,2024-09-28 08:42,cust_056,add_024,item_002,2
row_072,ord_025,2024-09-28 08:42,cust_056,add_024,item_001,1
row_073,ord_026,2024-10-02 21:21,cust_091,add_091,item_008,1
row_074,ord_026,2024-10-02 21:21,cust_091,add_091,item_001,1
row_075,ord_026,2024-10-02 21:21,cust_091,add_091,item_003,2
row_076,ord_026,2024-10-02 21:21,cust_091,add_091,item_005,2
row_077,ord_027,2024-09-19 11:09,cust_049,add_110,item_006,1
row_078,ord_027,2024-09-19 11:09,cust_049,add_110,item_001,1
row_079,ord_027,2024-09-19 11:09,cust_049,add_110,item_002,1
row_080,ord_027,2024-09-19 11:09,cust_049,add_110,item_005,1
row_081,ord_027,2024-09-19 11:09,cust_049,add_110,item_009,1
row_082,ord_028,2024-11-29 12:13,cust_072,add_160,item_003,1
row_083,ord_028,2024-11-29 12:13,cust_072,add_160,item_007,1
row_084,ord_029,2024-11-10 09:38,cust_002,add_125,item_001,1
row_085,ord_029,2024-11-10 09:38,cust_002,add_125,item_005,1
row_086,ord_030,2024-11-18 14:16,cust_013,add_118,item_002,1
row_087,ord_031,2024-03-29 12:39,cust_075,add_193,item_007,3
row_088,ord_031,2024-03-29 12:39,cust_075,add_193,item_004,1
row_089,ord_032,2024-05-10 20:25,cust_036,add_044,item_004,1
row_090,ord_033,2024-07-08 09:15,cust_077,add_141,item_004,1
row_091,ord_033,2024-07-08 09:15,cust_077,add_141,item_007,2
row_092,ord_034,2024-06-14 13:38,cust_048,add_089,item_006,1
row_093,ord_034,2024-06-14 13:38,cust_048,add_089,item_004,1
row_094,ord_034,2024-06-14 13:38,cust_048,add_089,item_003,1
row_095,ord_035,2024-05-09 13:27,cust_026,add_059,item_001,1
row_096,ord_036,2024-04-10 17:15,cust_089,add_161,item_007,1
row_097,ord_036,2024-04-10 17:15,cust_089,add_161,item_006,1
row_098,ord_037,2024-02-01 20:53,cust_026,add_080,item_007,2
row_099,ord_037,2024-02-01 20:53,cust_026,add_080,item_006,1
row_100,ord_038,2024-09-20 19:02,cust_070,add_132,item_005,1
